Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,71 Collett Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1970,0,-37.792415,144.933292,"71 Collett Street
(-37.792415, 144.933292)"
 ,75 Collett Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.792522,144.933272,"75 Collett Street
(-37.792522, 144.933272)"
Silloth Terrace,153 Flemington Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795971,144.94967,"153 Flemington Road
(-37.795971, 144.94967)"
Silloth Terrace,157 Flemington Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795893,144.949575,"157 Flemington Road
(-37.795893, 144.949575)"
 ,22 Chapman Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796921,144.949888,"22 Chapman Street
(-37.796921, 144.949888)"
 ,20 Chapman Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796972,144.949946,"20 Chapman Street
(-37.796972, 144.949946)"
Glen Ganiff,17 Chapman Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.797548,144.949519,"17 Chapman Street
(-37.797548, 144.949519)"
 ,268-276 Victoria Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,1900,0,-37.805804,144.95739,"268-276 Victoria Street
(-37.805804, 144.95739)"
 ,292 Victoria Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,1940,0,-37.80573,144.956669,"292 Victoria Street
(-37.80573, 144.956669)"
 ,126-128 Peel Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,1890,0,-37.805108,144.956474,"126-128 Peel Street
(-37.805108, 144.956474)"
 ,61 Canning Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796159,144.94288,"61 Canning Street
(-37.796159, 144.94288)"
 ,63 Canning Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796144,144.942822,"63 Canning Street
(-37.796144, 144.942822)"
 ,275-285 Macaulay Road,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,1980,2011,-37.795513,144.93763,"275-285 Macaulay Road
(-37.795513, 144.93763)"
 ,11-13 Boundary Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,2001,0,-37.795893,144.938523,"11-13 Boundary Road
(-37.795893, 144.938523)"
 ,101-117 Canning Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,1970,0,-37.796155,144.940734,"101-117 Canning Street
(-37.796155, 144.940734)"
 ,21 Deveney Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1993,0,-37.788992,144.927131,"21 Deveney Street
(-37.788992, 144.927131)"
 ,13 Bendall Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1989,0,-37.789218,144.924422,"13 Bendall Street
(-37.789218, 144.924422)"
 ,7 Bendall Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1989,0,-37.789128,144.924564,"7 Bendall Street
(-37.789128, 144.924564)"
 ,36 Calwell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1995,0,-37.788735,144.926354,"36 Calwell Street
(-37.788735, 144.926354)"
 ,32 Little Bendall Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1997,0,-37.789291,144.923363,"32 Little Bendall Street
(-37.789291, 144.923363)"
 ,26 Youngs Lane,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797249,144.948859,"26 Youngs Lane
(-37.797249, 144.948859)"
 ,7 Princess Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.805192,144.956881,"7 Princess Street
(-37.805192, 144.956881)"
 ,341-353 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797716,144.944198,"341-353 Dryburgh Street
(-37.797716, 144.944198)"
 ,1 Shiel Street,NORTH MELBOURNE,3051,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,0,1930,1990,-37.798265,144.943883,"1 Shiel Street
(-37.798265, 144.943883)"
 ,3 Shiel Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,0,-37.798153,144.943807,"3 Shiel Street
(-37.798153, 144.943807)"
 ,36 Little Bendall Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1997,0,-37.789371,144.92346,"36 Little Bendall Street
(-37.789371, 144.92346)"
 ,38 Little Bendall Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1997,0,-37.789413,144.923502,"38 Little Bendall Street
(-37.789413, 144.923502)"
 ,9-11 Rigby Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1989,0,-37.790578,144.924601,"9-11 Rigby Lane
(-37.790578, 144.924601)"
 ,21 Weighbridge Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1992,0,-37.78961,144.924536,"21 Weighbridge Lane
(-37.78961, 144.924536)"
 ,363-365 Racecourse Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1991,0,-37.788214,144.92829,"363-365 Racecourse Road
(-37.788214, 144.92829)"
 ,217-219 Errol Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799472,144.949983,"217-219 Errol Street
(-37.799472, 144.949983)"
 ,138 Curzon Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799897,144.948985,"138 Curzon Street
(-37.799897, 144.948985)"
 ,7 Harris Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.799651,144.949288,"7 Harris Street
(-37.799651, 144.949288)"
 ,76-78 Altona Street,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,2,2008,0,-37.796991,144.925899,"76-78 Altona Street
(-37.796991, 144.925899)"
 ,20 Glass Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.80184,144.948825,"20 Glass Street
(-37.80184, 144.948825)"
 ,68 Curzon Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.802601,144.948494,"68 Curzon Street
(-37.802601, 144.948494)"
 ,36 Shiel Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79668,144.943311,"36 Shiel Street
(-37.79668, 144.943311)"
 ,15 Rigby Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1990,0,-37.790519,144.924523,"15 Rigby Lane
(-37.790519, 144.924523)"
 ,36 Export Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1990,0,-37.790127,144.92454,"36 Export Lane
(-37.790127, 144.92454)"
 ,38 Export Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1990,0,-37.790152,144.924492,"38 Export Lane
(-37.790152, 144.924492)"
 ,68 Market Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1990,0,-37.790438,144.925655,"68 Market Street
(-37.790438, 144.925655)"
 ,10 Molesworth Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79845,144.949462,"10 Molesworth Street
(-37.79845, 144.949462)"
Verona,4 Molesworth Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798566,144.949606,"4 Molesworth Street
(-37.798566, 144.949606)"
 ,251 Errol Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.798228,144.950124,"251 Errol Street
(-37.798228, 144.950124)"
 ,16 Willam Street,PARKVILLE,3052,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.776191,144.939975,"16 Willam Street
(-37.776191, 144.939975)"
 ,363 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.797229,144.944208,"363 Dryburgh Street
(-37.797229, 144.944208)"
 ,381 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796776,144.944242,"381 Dryburgh Street
(-37.796776, 144.944242)"
Woodford,23 Canning Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.796771,144.945423,"23 Canning Street
(-37.796771, 144.945423)"
 ,2 Watsons Walk,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1989,0,-37.790896,144.924995,"2 Watsons Walk
(-37.790896, 144.924995)"
 ,7 Rigby Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1989,0,-37.790633,144.924658,"7 Rigby Lane
(-37.790633, 144.924658)"
 ,19 Drury Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1990,0,-37.79032,144.924801,"19 Drury Street
(-37.79032, 144.924801)"
 ,21 Serong Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1992,0,-37.788707,144.92523,"21 Serong Street
(-37.788707, 144.92523)"
 ,7 Haines Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799143,144.949784,"7 Haines Street
(-37.799143, 144.949784)"
 ,9-11 Haines Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,2,0,0,-37.799146,144.94966,"9-11 Haines Street
(-37.799146, 144.94966)"
 ,13 Haines Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.799065,144.949557,"13 Haines Street
(-37.799065, 144.949557)"
 ,17 Haines Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799046,144.949449,"17 Haines Street
(-37.799046, 144.949449)"
 ,19 Haines Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79904,144.949395,"19 Haines Street
(-37.79904, 144.949395)"
 ,148 Curzon Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799314,144.949056,"148 Curzon Street
(-37.799314, 144.949056)"
 ,68-74 Arden Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1930,0,-37.800613,144.949308,"68-74 Arden Street
(-37.800613, 144.949308)"
 ,183-199 Macaulay Road,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1940,0,-37.796782,144.939792,"183-199 Macaulay Road
(-37.796782, 144.939792)"
Lady Huntingfield Childrens Centre,89-97 Haines Street,NORTH MELBOURNE,3051,Alternative access,Main entrance has steps; Alternative entrance is step free or has ramp,2,0,1950,1990,-37.798677,144.944913,"89-97 Haines Street
(-37.798677, 144.944913)"
 ,114-116 Haines Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,0,1940,1980,-37.798577,144.943418,"114-116 Haines Street
(-37.798577, 144.943418)"
 ,430 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795188,144.945215,"430 Dryburgh Street
(-37.795188, 144.945215)"
Clifton Cottage,428 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795239,144.945208,"428 Dryburgh Street
(-37.795239, 144.945208)"
 ,422 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795374,144.945183,"422 Dryburgh Street
(-37.795374, 144.945183)"
 ,26 Wood Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.797125,144.945214,"26 Wood Street
(-37.797125, 144.945214)"
 ,374-376 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.796872,144.944829,"374-376 Dryburgh Street
(-37.796872, 144.944829)"
 ,48 Shiel Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796438,144.942886,"48 Shiel Street
(-37.796438, 144.942886)"
 ,46 Shiel Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796453,144.942949,"46 Shiel Street
(-37.796453, 144.942949)"
 ,23 Serong Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1992,0,-37.788748,144.925165,"23 Serong Street
(-37.788748, 144.925165)"
Kensington Hall Reserve,2-20 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.788786,144.928489,"2-20 Bellair Street
(-37.788786, 144.928489)"
 ,54 Arden Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.800727,144.949774,"54 Arden Street
(-37.800727, 144.949774)"
 ,39 O'Shanassy Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.800398,144.94928,"39 O'Shanassy Street
(-37.800398, 144.94928)"
 ,22 Purcell Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.802092,144.948832,"22 Purcell Street
(-37.802092, 144.948832)"
 ,398-400 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795982,144.945074,"398-400 Dryburgh Street
(-37.795982, 144.945074)"
 ,139-153 O'Shanassy Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,3,0,0,-37.799869,144.944452,"139-153 O'Shanassy Street
(-37.799869, 144.944452)"
 ,2-12 Calwell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1996,0,-37.788344,144.927129,"2-12 Calwell Street
(-37.788344, 144.927129)"
Selmor,242 Bellair Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795882,144.93048,"242 Bellair Street
(-37.795882, 144.93048)"
Youghal,45 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796914,144.928777,"45 Wolseley Parade
(-37.796914, 144.928777)"
 ,37 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796738,144.929079,"37 Wolseley Parade
(-37.796738, 144.929079)"
 ,31 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796602,144.92931,"31 Wolseley Parade
(-37.796602, 144.92931)"
 ,29 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.796549,144.9294,"29 Wolseley Parade
(-37.796549, 144.9294)"
 ,23-25 Wolseley Parade,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79643,144.929603,"23-25 Wolseley Parade
(-37.79643, 144.929603)"
 ,96 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793311,144.921533,"96 Westbourne Road
(-37.793311, 144.921533)"
 ,121-133 Abbotsford Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,2,1980,0,-37.804385,144.944922,"121-133 Abbotsford Street
(-37.804385, 144.944922)"
 ,687-693 Queensberry Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1950,0,-37.802742,144.944289,"687-693 Queensberry Street
(-37.802742, 144.944289)"
 ,2 De Feu Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.801551,144.943274,"2 De Feu Street
(-37.801551, 144.943274)"
 ,241-247 Dryburgh Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,1970,0,-37.800686,144.943495,"241-247 Dryburgh Street
(-37.800686, 144.943495)"
 ,221-227 Dryburgh Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,1980,1995,-37.801124,144.943392,"221-227 Dryburgh Street
(-37.801124, 144.943392)"
 ,217-219 Dryburgh Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1910,0,-37.801262,144.943356,"217-219 Dryburgh Street
(-37.801262, 144.943356)"
Rose Cottage,213-215 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.801368,144.943518,"213-215 Dryburgh Street
(-37.801368, 144.943518)"
 ,39 McCracken Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.791183,144.92805,"39 McCracken Street
(-37.791183, 144.92805)"
Hotham,52 McConnell Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.791568,144.928467,"52 McConnell Street
(-37.791568, 144.928467)"
 ,2 McMeikan Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.792042,144.928364,"2 McMeikan Street
(-37.792042, 144.928364)"
 ,179-181 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.793255,144.917815,"179-181 Stockmans Way
(-37.793255, 144.917815)"
 ,151-153 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792824,144.918533,"151-153 Stockmans Way
(-37.792824, 144.918533)"
 ,44 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792193,144.923393,"44 Westbourne Road
(-37.792193, 144.923393)"
 ,42 Westbourne Road,KENSINGTON,3031,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,2,0,0,-37.792148,144.923479,"42 Westbourne Road
(-37.792148, 144.923479)"
 ,2-12 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79151,144.924709,"2-12 Westbourne Road
(-37.79151, 144.924709)"
 ,14-20 Westbourne Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791606,144.924274,"14-20 Westbourne Road
(-37.791606, 144.924274)"
 ,6 Belmont Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79294,144.923706,"6 Belmont Road
(-37.79294, 144.923706)"
 ,8 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794302,144.926865,"8 Kensington Road
(-37.794302, 144.926865)"
 ,16 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794442,144.926556,"16 Kensington Road
(-37.794442, 144.926556)"
 ,724 Queensberry Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.8021,144.94313,"724 Queensberry Street
(-37.8021, 144.94313)"
 ,196-198 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.801885,144.944008,"196-198 Dryburgh Street
(-37.801885, 144.944008)"
 ,234 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.801082,144.944152,"234 Dryburgh Street
(-37.801082, 144.944152)"
 ,87 Lothian Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.80127,144.944527,"87 Lothian Street
(-37.80127, 144.944527)"
 ,73-75 Lothian Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.801552,144.944477,"73-75 Lothian Street
(-37.801552, 144.944477)"
 ,67 Lothian Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.80172,144.944447,"67 Lothian Street
(-37.80172, 144.944447)"
 ,7 Robertson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1900,0,-37.792697,144.932017,"7 Robertson Street
(-37.792697, 144.932017)"
 ,5 Robertson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.792689,144.93192,"5 Robertson Street
(-37.792689, 144.93192)"
 ,1 Robertson Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1975,0,-37.792673,144.931778,"1 Robertson Street
(-37.792673, 144.931778)"
 ,63-71 Eastwood Street,KENSINGTON,3031,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,2,1968,0,-37.791017,144.930436,"63-71 Eastwood Street
(-37.791017, 144.930436)"
 ,9 Smith Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1910,0,-37.791089,144.930986,"9 Smith Street
(-37.791089, 144.930986)"
 ,30 Melrose Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794386,144.942174,"30 Melrose Street
(-37.794386, 144.942174)"
 ,80 Erskine Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794239,144.942618,"80 Erskine Street
(-37.794239, 144.942618)"
 ,72 Lothian Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.801415,144.945019,"72 Lothian Street
(-37.801415, 144.945019)"
 ,666 Queensberry Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.80227,144.94527,"666 Queensberry Street
(-37.80227, 144.94527)"
 ,146-166 Laurens Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1962,1990,-37.801547,144.942011,"146-166 Laurens Street
(-37.801547, 144.942011)"
 ,24 Melrose Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1990,0,-37.79486,144.942106,"24 Melrose Street
(-37.79486, 144.942106)"
 ,29 Erskine Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795029,144.943884,"29 Erskine Street
(-37.795029, 144.943884)"
 ,53 Erskine Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794908,144.942915,"53 Erskine Street
(-37.794908, 144.942915)"
 ,57 Erskine Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794855,144.942744,"57 Erskine Street
(-37.794855, 144.942744)"
 ,63 Erskine Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794808,144.942327,"63 Erskine Street
(-37.794808, 144.942327)"
 ,20-22 Kipling Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795059,144.942651,"20-22 Kipling Street
(-37.795059, 144.942651)"
 ,19 Peckville Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.795065,144.942903,"19 Peckville Street
(-37.795065, 144.942903)"
St Michael Terrace,450 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.794458,144.945424,"450 Dryburgh Street
(-37.794458, 144.945424)"
 ,446-448 Dryburgh Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794544,144.9454,"446-448 Dryburgh Street
(-37.794544, 144.9454)"
 ,246 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,1,1900,1999,-37.812107,144.965324,"246 Swanston Street
(-37.812107, 144.965324)"
Latham House,230-238 Swanston Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1883,1994,-37.812329,144.965426,"230-238 Swanston Street
(-37.812329, 144.965426)"
 ,208-210 Little Bourke Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1984,0,-37.812028,144.966418,"208-210 Little Bourke Street
(-37.812028, 144.966418)"
 ,209-211 Lonsdale Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,2,1925,1990,-37.811433,144.96626,"209-211 Lonsdale Street
(-37.811433, 144.96626)"
 ,185-187 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1891,2001,-37.811187,144.966848,"185-187 Lonsdale Street
(-37.811187, 144.966848)"
 ,189-191 Lonsdale Street,MELBOURNE,3000,Steps,All entrances have steps,1,2,1887,1997,-37.811217,144.966749,"189-191 Lonsdale Street
(-37.811217, 144.966749)"
 ,225-229 Russell Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1900,1972,-37.811319,144.967125,"225-229 Russell Street
(-37.811319, 144.967125)"
Exford Hotel,199-203 Russell Street,MELBOURNE,3000,Steps,All entrances have steps,1,3,1856,1994,-37.811791,144.96734,"199-203 Russell Street
(-37.811791, 144.96734)"
 ,47-49 Epsom Road,KENSINGTON,3031,Steps,All entrances have steps,1,1,0,2011,-37.792165,144.925338,"47-49 Epsom Road
(-37.792165, 144.925338)"
Harbour One Apartments,353-369 Docklands Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,22,2011,0,-37.813418,144.942311,"353-369 Docklands Drive
(-37.813418, 144.942311)"
 ,2-26 Queens Bridge Street,SOUTHBANK,3006,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.821546,144.960924,"2-26 Queens Bridge Street
(-37.821546, 144.960924)"
 ,50-58 Altona Street,KENSINGTON,3031,Step free,Main Entrance is at grade and has no steps or ramp,3,4,2009,0,-37.797985,144.926639,"50-58 Altona Street
(-37.797985, 144.926639)"
 ,39 Faraday Street,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.799569,144.973409,"39 Faraday Street
(-37.799569, 144.973409)"
